customer_id,age,tenure,monthly_charges,contract_type,internet_service,churn
60,61,4,109.41,One year,None,0
61,25,30,43.0,Month-to-month,Fiber optic,1
62,64,11,41.31,Two year,DSL,0
63,52,30,23.11,Two year,DSL,0
64,31,31,85.17,One year,None,0
65,34,24,56.85,Month-to-month,DSL,0
66,53,55,106.44,Two year,None,0
67,67,9,67.32,Month-to-month,DSL,1
68,57,55,116.82,Month-to-month,Fiber optic,0
69,21,3,38.55,Month-to-month,None,1
70,19,51,106.86,One year,None,0
71,23,31,97.66,Month-to-month,DSL,1
72,59,40,97.09,Month-to-month,DSL,0
73,21,37,104.48,Two year,None,0
74,46,36,96.1,Two year,DSL,0
75,35,24,82.62,Month-to-month,Fiber optic,0
76,43,31,33.12,Month-to-month,DSL,0
77,61,6,23.25,One year,Fiber optic,1
78,51,2,112.08,Month-to-month,Fiber optic,1
79,27,20,81.67,Month-to-month,Fiber optic,0
80,53,28,99.65,Month-to-month,Fiber optic,0
81,31,11,68.15,Two year,Fiber optic,0
82,48,4,31.73,One year,DSL,0
83,65,15,32.52,One year,Fiber optic,0
84,32,6,88.56,Two year,DSL,1
85,25,54,63.03,Month-to-month,Fiber optic,1
86,31,49,40.05,Month-to-month,None,0
87,40,30,69.16,Month-to-month,Fiber optic,0
88,57,56,26.42,Month-to-month,None,0
89,38,38,78.2,Month-to-month,Fiber optic,0
90,33,51,46.9,One year,Fiber optic,0
91,62,57,99.76,One year,Fiber optic,0
92,35,2,51.04,Two year,None,1
93,64,15,65.52,Month-to-month,None,0
94,41,11,21.16,One year,Fiber optic,0
95,43,8,27.24,One year,DSL,1
96,42,26,59.25,Month-to-month,Fiber optic,1
97,62,51,67.99,One year,None,0
98,58,45,80.0,Month-to-month,Fiber optic,0
99,46,44,49.17,Month-to-month,None,0
100,32,5,89.5,Month-to-month,None,1
101,62,6,106.01,Month-to-month,None,0
102,18,26,97.99,Month-to-month,Fiber optic,0
103,42,54,23.96,One year,None,0
104,24,4,68.05,Two year,None,1
105,26,19,30.49,One year,Fiber optic,0
106,41,20,44.2,One year,None,0
107,18,33,118.67,Month-to-month,Fiber optic,0
108,61,20,34.25,One year,None,0
109,25,49,69.89,Month-to-month,DSL,0
110,41,12,81.82,Month-to-month,DSL,1
111,28,47,90.25,Month-to-month,None,1
112,68,1,75.96,Month-to-month,DSL,0
113,34,26,20.98,Month-to-month,Fiber optic,0
114,25,14,52.65,Month-to-month,DSL,0
115,52,38,71.77,Month-to-month,None,0
116,52,37,28.79,Two year,None,0
117,50,11,55.06,Month-to-month,Fiber optic,1
118,22,36,23.32,Month-to-month,None,0
119,59,13,27.86,Month-to-month,Fiber optic,0
120,56,43,59.69,One year,DSL,0
121,58,3,33.27,Month-to-month,DSL,1
122,45,33,76.75,Month-to-month,Fiber optic,1
123,24,6,88.95,Month-to-month,Fiber optic,1
124,26,50,100.06,Month-to-month,None,1
125,25,56,40.02,Month-to-month,DSL,0
126,29,10,36.75,Month-to-month,Fiber optic,0
127,51,5,30.46,Month-to-month,DSL,0
128,50,23,83.64,Month-to-month,Fiber optic,0
129,65,10,90.65,Month-to-month,DSL,0
130,40,44,23.16,One year,None,0
131,41,2,113.62,Month-to-month,DSL,0
132,54,13,25.2,Month-to-month,DSL,0
133,52,40,74.13,Month-to-month,DSL,0
134,61,2,90.91,Two year,DSL,1
135,57,20,107.1,Month-to-month,DSL,0
136,39,1,91.41,Month-to-month,None,0
137,44,37,100.17,One year,Fiber optic,0
138,52,9,53.95,Month-to-month,DSL,0
139,18,17,101.48,Month-to-month,None,0
140,52,9,28.01,Month-to-month,DSL,0
141,54,11,109.48,Two year,DSL,0
142,64,15,74.76,Month-to-month,Fiber optic,0
143,31,24,101.73,One year,DSL,0
144,20,38,65.23,Two year,None,0
145,18,55,84.36,Month-to-month,None,0
146,22,35,72.64,Month-to-month,Fiber optic,0
147,43,30,93.16,Month-to-month,DSL,0
148,31,31,28.16,Month-to-month,None,0
149,56,49,26.04,Month-to-month,DSL,0
150,44,5,44.71,Two year,DSL,0
151,26,44,35.95,One year,DSL,0
152,32,50,107.18,One year,Fiber optic,0
153,32,14,41.92,Month-to-month,DSL,1
154,43,53,117.59,One year,None,1
155,59,56,53.69,Two year,DSL,0
156,30,11,38.21,One year,None,0
157,68,9,98.97,Month-to-month,DSL,0
158,49,34,85.87,One year,None,0
159,56,12,69.82,Month-to-month,None,0
160,66,35,75.54,Month-to-month,DSL,0
161,69,35,91.92,Month-to-month,DSL,0
162,49,1,42.85,One year,None,1
163,21,40,119.63,One year,Fiber optic,0
164,47,22,117.48,Month-to-month,DSL,1
165,54,29,85.03,Month-to-month,Fiber optic,0
166,40,8,39.95,Month-to-month,DSL,0
167,56,11,88.02,Month-to-month,DSL,0
168,62,41,27.22,Month-to-month,DSL,0
169,32,37,23.07,Month-to-month,DSL,1
170,60,14,45.77,One year,Fiber optic,0
171,46,30,66.26,Month-to-month,DSL,0
172,53,35,106.83,Month-to-month,None,1
173,30,21,92.72,Month-to-month,None,0
174,49,37,94.27,Two year,Fiber optic,1
175,24,5,62.55,One year,DSL,0
176,68,19,54.59,One year,None,0
177,39,59,57.1,Month-to-month,Fiber optic,0
178,45,14,118.76,Month-to-month,DSL,0
179,19,26,24.01,Month-to-month,None,0
180,59,4,106.7,One year,None,0
181,62,25,77.87,Two year,Fiber optic,1
182,23,45,63.86,One year,DSL,1
183,45,42,92.53,Two year,DSL,0
184,45,25,68.67,One year,None,0
185,61,18,107.34,Month-to-month,None,0
186,61,40,110.07,Two year,None,0
187,37,8,62.17,Month-to-month,DSL,0
188,47,39,47.68,Month-to-month,Fiber optic,0
189,28,40,79.24,Month-to-month,Fiber optic,0
190,45,14,111.24,Month-to-month,DSL,0
191,42,32,41.07,Month-to-month,Fiber optic,1
192,56,51,82.3,Month-to-month,None,0
193,50,38,83.16,Month-to-month,Fiber optic,0
194,18,33,93.31,Month-to-month,Fiber optic,0
195,44,23,33.16,Month-to-month,Fiber optic,0
196,69,15,91.58,Month-to-month,None,0
197,30,33,110.9,Month-to-month,DSL,0
198,58,25,37.97,Month-to-month,None,1
199,20,17,43.75,One year,DSL,0
200,56,33,117.14,One year,DSL,0
201,23,47,38.1,One year,DSL,1
202,25,55,105.44,One year,Fiber optic,1
203,44,2,69.23,Month-to-month,Fiber optic,0
204,26,14,44.72,One year,DSL,0
205,54,53,107.07,Month-to-month,DSL,0
206,50,40,64.53,Month-to-month,Fiber optic,0
207,68,40,71.48,One year,None,0
208,59,51,55.92,Month-to-month,DSL,0
209,61,39,79.3,One year,None,0
210,41,51,36.35,One year,Fiber optic,0
211,32,6,59.11,Two year,DSL,0
212,49,6,116.94,Two year,None,0
213,49,3,45.81,Month-to-month,None,0
214,41,7,85.67,Month-to-month,None,0
215,58,51,52.52,Month-to-month,Fiber optic,0
216,69,8,97.35,Month-to-month,Fiber optic,0
217,66,42,33.09,One year,None,0
218,66,52,116.98,One year,None,0
219,69,15,65.38,One year,Fiber optic,0
220,29,47,43.61,Month-to-month,None,0
221,56,29,27.35,Month-to-month,None,1
222,19,33,36.98,Month-to-month,Fiber optic,1
223,20,52,71.98,Month-to-month,None,0
224,66,30,53.7,Two year,None,0
225,54,39,102.89,Month-to-month,None,0
226,66,27,63.09,Month-to-month,Fiber optic,0
227,34,36,44.87,Month-to-month,None,0
228,66,29,81.71,One year,Fiber optic,1
229,19,38,90.68,One year,Fiber optic,0
230,19,57,36.7,Month-to-month,DSL,0
231,45,33,36.76,Month-to-month,DSL,1
232,40,37,23.67,Month-to-month,None,1
233,54,27,93.64,Month-to-month,Fiber optic,1
234,49,55,86.38,One year,DSL,0
235,50,33,67.46,One year,None,0
236,18,4,104.42,Month-to-month,DSL,0
237,36,22,100.57,Month-to-month,DSL,0
238,19,2,78.54,Two year,Fiber optic,0
239,61,10,106.83,Month-to-month,Fiber optic,0
240,43,5,40.58,One year,DSL,1
241,49,59,31.19,Month-to-month,DSL,0
242,23,10,46.97,Month-to-month,Fiber optic,0
243,49,33,25.71,Month-to-month,None,0
244,21,54,73.12,Month-to-month,Fiber optic,0
245,28,38,113.66,Two year,DSL,0
246,34,13,23.93,Month-to-month,None,0
247,55,31,32.21,Month-to-month,DSL,0
248,41,47,65.22,Month-to-month,None,0
249,22,36,113.39,Month-to-month,DSL,0
250,69,45,51.62,Month-to-month,None,1
251,51,24,70.72,Month-to-month,None,0
252,23,52,24.16,One year,DSL,0
253,39,56,34.83,Month-to-month,None,0
254,28,15,118.66,Month-to-month,Fiber optic,0
255,65,29,116.51,Two year,DSL,0
256,33,8,20.49,Month-to-month,Fiber optic,0
257,50,5,115.18,Two year,DSL,1
258,26,29,83.91,Month-to-month,None,1
259,23,47,106.79,Two year,None,0
260,33,4,65.47,One year,None,1
261,46,12,71.56,One year,DSL,0
262,20,45,68.88,Two year,Fiber optic,0
263,37,2,86.69,Month-to-month,Fiber optic,0
264,53,27,33.97,Two year,DSL,0
265,36,31,23.0,Month-to-month,DSL,1
266,43,51,50.79,Month-to-month,Fiber optic,0
267,20,51,90.47,Month-to-month,Fiber optic,1
268,36,36,40.19,Month-to-month,Fiber optic,0
269,37,36,87.34,Month-to-month,Fiber optic,0
270,49,26,116.99,Month-to-month,DSL,0
271,24,43,29.39,Month-to-month,DSL,0
272,69,27,87.26,One year,None,0
273,58,5,64.38,One year,Fiber optic,1
274,50,20,106.81,Month-to-month,None,0
275,57,11,37.71,Month-to-month,DSL,1
276,56,10,89.26,Month-to-month,DSL,1
277,35,40,103.81,Month-to-month,None,0
278,57,38,114.46,Month-to-month,Fiber optic,1
279,18,6,88.32,Month-to-month,Fiber optic,1
280,28,8,69.72,Month-to-month,Fiber optic,0
281,45,23,81.78,Two year,Fiber optic,1
282,42,47,106.89,Month-to-month,None,1
283,67,26,77.06,Month-to-month,None,0
284,40,46,23.04,Month-to-month,DSL,0
285,48,43,113.09,Month-to-month,Fiber optic,1
286,47,12,88.95,Month-to-month,Fiber optic,0
287,59,26,87.65,One year,Fiber optic,0
288,52,13,41.57,Month-to-month,None,0
289,24,40,85.89,Month-to-month,Fiber optic,1
290,33,18,59.39,Two year,None,0
291,43,25,85.12,Two year,Fiber optic,1
292,65,33,30.66,One year,Fiber optic,0
293,69,47,85.78,Month-to-month,DSL,0
294,66,40,119.94,One year,Fiber optic,0
295,19,43,24.82,Month-to-month,Fiber optic,0
296,18,12,117.72,Month-to-month,DSL,0
297,65,44,60.69,Month-to-month,None,1
298,29,36,107.08,Month-to-month,None,1
299,22,48,98.24,Month-to-month,Fiber optic,0
300,54,4,76.7,Month-to-month,None,0
301,49,5,93.84,Two year,Fiber optic,1
302,26,56,107.85,Two year,DSL,1
303,58,37,60.41,One year,DSL,0
304,52,8,52.7,Month-to-month,Fiber optic,0
305,36,42,86.76,Two year,DSL,0
306,65,49,100.78,Month-to-month,DSL,1
307,33,28,96.23,One year,Fiber optic,0
308,20,31,99.78,Month-to-month,Fiber optic,0
309,37,58,63.56,One year,DSL,0
310,41,9,101.78,Month-to-month,None,1
311,50,54,32.02,Two year,None,0
312,41,51,74.45,Two year,Fiber optic,0
313,69,29,20.58,Month-to-month,Fiber optic,0
314,28,14,52.46,Month-to-month,None,0
315,66,40,56.65,Two year,DSL,0
316,25,41,59.62,Month-to-month,None,1
317,53,22,89.55,Two year,None,1
318,55,11,58.86,Month-to-month,None,1
319,57,23,64.87,Month-to-month,None,1
320,37,1,43.75,Month-to-month,Fiber optic,0
321,52,46,57.33,Month-to-month,Fiber optic,1
322,65,37,42.73,One year,DSL,0
323,42,21,27.32,Month-to-month,DSL,0
324,52,26,80.34,Month-to-month,DSL,1
325,42,46,86.82,Month-to-month,DSL,0
326,46,36,81.95,Month-to-month,None,0
327,35,54,66.35,Two year,Fiber optic,0
328,63,23,57.98,Two year,Fiber optic,0
329,35,57,106.33,Month-to-month,DSL,0
330,19,1,71.91,One year,DSL,1
331,52,54,67.92,One year,None,1
332,33,55,22.56,Month-to-month,None,0
333,58,51,54.12,Two year,DSL,0
334,53,40,58.02,Month-to-month,Fiber optic,0
335,50,15,59.88,Month-to-month,Fiber optic,1
336,21,21,78.02,Two year,Fiber optic,0
337,50,47,73.36,Month-to-month,DSL,0
338,31,9,80.79,One year,Fiber optic,0
339,38,53,96.49,Two year,None,0
340,65,9,101.3,Month-to-month,None,0
341,37,10,91.81,Two year,DSL,1
342,25,52,115.55,Month-to-month,None,0
343,24,57,21.82,Month-to-month,DSL,0
344,20,53,39.58,One year,Fiber optic,0
345,34,26,20.76,Two year,Fiber optic,1
346,50,41,84.75,Month-to-month,Fiber optic,0
347,65,35,109.8,Month-to-month,None,0
348,29,52,44.35,One year,DSL,0
349,68,25,112.7,One year,Fiber optic,0
350,39,26,26.03,One year,DSL,1
351,39,11,113.44,Month-to-month,Fiber optic,0
352,63,38,55.16,Month-to-month,None,1
353,47,2,30.14,Month-to-month,None,0
354,55,7,68.59,One year,DSL,1
355,55,18,45.68,Month-to-month,None,0
356,62,27,48.49,Month-to-month,None,1
357,68,34,50.73,Two year,DSL,0
358,25,27,100.3,Month-to-month,Fiber optic,0
359,44,17,73.92,Two year,None,1
360,44,43,51.13,One year,DSL,0
361,51,59,81.03,One year,None,0
362,38,44,91.62,Month-to-month,None,0
363,47,59,47.26,Month-to-month,None,0
364,50,51,61.35,One year,None,0
365,45,54,32.19,One year,DSL,0
366,64,24,38.11,One year,DSL,0
367,50,25,88.11,Month-to-month,DSL,1
368,22,7,38.14,One year,None,0
369,65,52,72.52,One year,None,1
370,36,6,90.9,One year,None,1
371,21,53,30.69,One year,DSL,0
372,52,24,76.73,One year,None,0
373,66,33,45.66,One year,Fiber optic,0
374,34,49,116.29,Month-to-month,None,0
375,61,29,68.35,Month-to-month,Fiber optic,1
376,45,43,100.6,Month-to-month,None,0
377,47,22,75.02,Month-to-month,DSL,0
378,46,26,24.34,Month-to-month,None,0
379,63,28,83.32,Month-to-month,Fiber optic,0
380,23,50,115.14,Month-to-month,Fiber optic,0
381,52,21,80.16,Month-to-month,None,0
382,58,49,101.92,One year,Fiber optic,1
383,54,7,108.42,Two year,Fiber optic,0
384,41,17,42.81,Month-to-month,DSL,0
385,46,20,41.2,Two year,None,1
386,66,41,81.1,Month-to-month,None,0
387,63,49,61.1,Month-to-month,None,1
388,48,20,103.99,Month-to-month,Fiber optic,1
389,52,54,110.0,Month-to-month,None,0
390,50,22,55.34,One year,None,1
391,69,28,43.69,One year,DSL,0
392,38,40,98.05,Month-to-month,DSL,1
393,49,49,47.48,Month-to-month,DSL,0
394,40,7,102.26,Month-to-month,Fiber optic,1
395,50,1,62.37,Month-to-month,None,1
396,20,32,86.75,Month-to-month,DSL,1
397,35,13,29.55,Month-to-month,DSL,1
398,42,30,82.39,One year,DSL,0
399,59,23,65.18,Two year,None,1
400,48,51,78.66,Month-to-month,None,0
401,20,59,36.8,Two year,None,1
402,57,56,93.69,Month-to-month,Fiber optic,0
403,63,19,106.28,Month-to-month,Fiber optic,0
404,41,32,41.67,Month-to-month,DSL,0
405,67,30,29.57,One year,None,0
406,49,29,22.36,Two year,DSL,1
407,64,49,84.2,One year,None,0
408,39,45,80.71,Month-to-month,None,0
409,40,29,74.67,One year,None,0
410,19,30,43.19,Month-to-month,Fiber optic,1
411,44,16,59.09,Two year,Fiber optic,0
412,59,40,79.45,Month-to-month,None,0
413,19,19,69.68,Month-to-month,DSL,0
414,43,18,118.78,Month-to-month,None,0
415,34,1,33.64,One year,None,0
416,57,14,89.51,Month-to-month,DSL,0
417,50,51,60.43,One year,None,0
418,26,47,62.82,Month-to-month,DSL,1
419,60,50,91.76,One year,Fiber optic,1
420,65,2,89.24,One year,Fiber optic,0
421,56,54,119.13,One year,DSL,1
422,46,28,32.84,Month-to-month,Fiber optic,0
423,59,49,30.41,Month-to-month,Fiber optic,0
424,43,50,92.43,Month-to-month,DSL,0
425,52,30,77.84,One year,Fiber optic,0
426,67,38,47.42,Month-to-month,None,0
427,42,51,27.94,Month-to-month,None,0
428,41,4,28.57,Month-to-month,DSL,0
429,30,1,109.42,Month-to-month,Fiber optic,1
430,24,8,39.19,One year,None,0
431,53,29,52.34,Month-to-month,None,0
432,62,55,42.67,One year,Fiber optic,0
433,37,39,55.5,Month-to-month,Fiber optic,0
434,18,3,26.94,Month-to-month,None,0
435,25,32,71.91,Month-to-month,None,0
436,63,10,26.76,Month-to-month,DSL,1
437,33,10,100.04,Month-to-month,DSL,0
438,31,19,43.37,One year,None,0
439,29,46,74.0,Month-to-month,DSL,0
440,68,34,108.01,One year,None,0
441,40,33,85.09,Month-to-month,None,0
442,32,23,73.3,Month-to-month,DSL,0
443,45,55,52.43,One year,DSL,0
444,51,28,53.3,Month-to-month,Fiber optic,0
445,19,32,86.95,Month-to-month,Fiber optic,0
446,49,50,119.41,Month-to-month,Fiber optic,0
447,40,7,86.18,Month-to-month,None,0
448,39,29,75.78,One year,DSL,0
449,68,8,93.07,Month-to-month,None,0
450,42,1,66.52,One year,DSL,0
451,39,57,26.01,Two year,None,0
452,39,55,76.23,Month-to-month,Fiber optic,0
453,66,3,115.76,Two year,Fiber optic,0
454,69,24,37.53,Month-to-month,Fiber optic,0
455,59,23,89.0,Two year,None,1
456,23,59,40.09,Month-to-month,DSL,0
457,32,8,73.58,One year,DSL,1
458,60,54,29.67,Month-to-month,Fiber optic,0
459,54,57,65.04,Month-to-month,Fiber optic,0
460,50,47,95.62,One year,Fiber optic,0
461,25,37,54.76,One year,Fiber optic,0
462,61,3,86.49,Month-to-month,DSL,0
463,61,51,99.54,Month-to-month,None,0
464,22,33,112.72,One year,None,0
465,56,28,43.46,One year,None,0
466,21,47,59.93,Two year,None,1
467,23,8,35.24,One year,Fiber optic,1
468,62,34,119.25,Two year,Fiber optic,0
469,49,35,112.7,One year,Fiber optic,0
470,69,32,74.0,Month-to-month,None,0
471,47,24,104.2,Month-to-month,Fiber optic,0
472,64,14,72.1,One year,Fiber optic,0
473,52,32,82.36,One year,DSL,1
474,57,56,28.91,Month-to-month,DSL,0
475,69,46,95.53,Month-to-month,Fiber optic,0
476,33,43,32.77,Two year,DSL,0
477,30,16,102.61,Month-to-month,DSL,1
478,67,4,98.2,Month-to-month,Fiber optic,0
479,59,52,90.87,Month-to-month,Fiber optic,0
480,47,37,23.62,Month-to-month,Fiber optic,1
481,36,54,50.31,Month-to-month,Fiber optic,0
482,34,21,46.31,Month-to-month,None,1
483,36,14,56.01,Month-to-month,None,0
484,45,31,28.76,One year,Fiber optic,1
485,43,55,113.7,Month-to-month,DSL,0
486,54,48,75.38,One year,Fiber optic,0
487,43,18,50.55,Two year,Fiber optic,1
488,40,7,59.7,Month-to-month,DSL,0
489,26,10,64.72,One year,None,0
490,29,7,80.06,Month-to-month,Fiber optic,0
491,18,33,71.57,Two year,Fiber optic,0
492,18,23,111.94,Month-to-month,None,0
493,64,21,69.7,One year,None,0
494,51,19,119.22,One year,DSL,0
495,49,48,105.14,Month-to-month,None,0
496,65,19,40.85,Month-to-month,None,0
497,42,36,113.06,One year,None,0
498,57,29,31.64,One year,DSL,1
499,62,18,101.74,Month-to-month,None,1
500,18,2,58.06,One year,None,1
501,33,1,107.8,Month-to-month,DSL,0
502,56,47,106.81,One year,None,0
503,22,5,100.59,Month-to-month,None,0
504,39,20,99.0,Two year,DSL,0
505,46,11,50.47,Month-to-month,Fiber optic,0
506,20,42,28.09,Month-to-month,DSL,0
507,29,2,60.3,Month-to-month,None,0
508,43,3,37.35,Month-to-month,None,1
509,33,23,89.5,Month-to-month,None,0
510,68,55,54.61,Month-to-month,DSL,0
511,54,12,117.56,One year,None,0
512,39,20,84.1,Month-to-month,None,0
513,46,5,102.25,Month-to-month,DSL,1
514,31,37,33.25,Month-to-month,Fiber optic,0
515,45,38,106.2,Month-to-month,Fiber optic,0
516,22,30,112.28,Month-to-month,None,0
517,64,9,68.71,Month-to-month,DSL,0
518,66,34,80.63,Month-to-month,None,0
519,47,53,96.48,Month-to-month,DSL,1
520,63,44,37.48,Month-to-month,DSL,1
521,69,35,70.26,Month-to-month,Fiber optic,1
522,22,52,59.87,Month-to-month,Fiber optic,0
523,29,58,34.64,Month-to-month,DSL,1
524,33,22,56.75,Two year,None,0
525,43,44,26.82,Month-to-month,Fiber optic,0
526,43,24,22.58,One year,None,0
527,65,17,33.52,Month-to-month,Fiber optic,0
528,38,10,116.31,One year,Fiber optic,0
529,56,30,74.95,One year,None,1
530,53,56,116.58,Month-to-month,Fiber optic,0
531,50,59,63.25,Two year,Fiber optic,0
532,47,46,51.18,Month-to-month,None,0
533,54,23,70.61,Month-to-month,Fiber optic,1
534,40,32,63.95,One year,Fiber optic,1
535,27,17,30.57,One year,Fiber optic,1
536,22,50,84.08,Month-to-month,None,0
537,53,51,41.6,Month-to-month,DSL,0
538,51,17,81.96,Month-to-month,None,0
539,69,14,85.02,Month-to-month,DSL,0
540,48,9,35.2,One year,Fiber optic,0
541,27,40,26.13,Month-to-month,DSL,0
542,36,2,98.08,Month-to-month,None,0
543,49,45,65.98,Month-to-month,None,1
544,18,25,25.82,Month-to-month,Fiber optic,0
545,22,39,119.49,Month-to-month,DSL,0
546,62,9,25.78,One year,Fiber optic,0
547,21,54,89.5,Two year,Fiber optic,1
548,33,22,118.37,One year,None,1
549,41,43,43.92,Month-to-month,DSL,1
550,33,46,34.22,Two year,DSL,1
551,19,4,32.14,One year,DSL,0
552,66,26,50.33,One year,DSL,0
553,45,58,30.1,Month-to-month,Fiber optic,0
554,49,29,89.22,Month-to-month,Fiber optic,0
555,44,45,26.23,Month-to-month,None,0
556,37,34,70.94,Month-to-month,Fiber optic,0
557,41,23,119.67,Month-to-month,Fiber optic,1
558,29,37,101.4,Month-to-month,None,1
559,67,11,81.52,Month-to-month,None,1
560,52,6,50.63,One year,None,1
561,50,18,82.39,Month-to-month,Fiber optic,0
562,50,21,72.7,Month-to-month,Fiber optic,0
563,68,42,62.61,Two year,None,0
564,60,36,33.07,Two year,None,0
565,54,41,108.66,One year,None,0
566,29,38,64.98,Two year,Fiber optic,0
567,20,34,39.46,Month-to-month,Fiber optic,1
568,18,17,56.78,Two year,DSL,0
569,50,37,61.41,Month-to-month,Fiber optic,0
570,57,25,102.75,Month-to-month,Fiber optic,0
571,27,38,93.36,Month-to-month,Fiber optic,0
572,60,58,96.93,Month-to-month,None,0
573,61,12,21.1,Month-to-month,Fiber optic,0
574,46,23,61.62,One year,None,1
575,30,53,68.13,One year,DSL,0
576,29,42,21.92,Month-to-month,DSL,0
577,48,22,45.98,Month-to-month,None,0
578,63,21,96.03,One year,None,0
579,19,27,33.71,One year,None,1
580,68,57,73.53,Month-to-month,Fiber optic,0
581,67,31,41.52,One year,DSL,1
582,52,6,21.21,Month-to-month,None,0
583,40,27,44.12,Month-to-month,Fiber optic,1
584,34,40,117.59,Two year,DSL,0
585,43,34,100.15,Month-to-month,Fiber optic,0
586,25,12,115.96,Month-to-month,DSL,0
587,46,45,68.79,Two year,Fiber optic,0
588,43,57,30.97,One year,DSL,0
589,27,53,74.8,Month-to-month,DSL,0
590,43,7,65.44,Month-to-month,Fiber optic,0
591,51,10,104.44,Month-to-month,None,0
592,68,45,29.81,One year,DSL,0
593,58,17,68.82,Month-to-month,None,1
594,24,26,35.0,Month-to-month,Fiber optic,0
595,21,21,52.47,Two year,None,0
596,67,28,93.74,Month-to-month,None,0
597,62,58,67.6,Month-to-month,None,1
598,28,46,57.59,Month-to-month,None,0
599,46,2,59.45,One year,None,0
600,53,54,65.94,Month-to-month,DSL,1
601,42,43,98.5,Month-to-month,DSL,1
602,38,1,109.21,One year,DSL,0
603,53,51,115.53,Month-to-month,Fiber optic,0
604,27,53,98.69,Month-to-month,None,1
605,54,36,51.54,Month-to-month,DSL,0
606,26,51,88.81,Month-to-month,Fiber optic,0
607,41,26,63.76,Month-to-month,DSL,0
608,52,29,45.47,Month-to-month,DSL,1
609,66,21,104.09,Month-to-month,None,0
610,52,11,23.84,Month-to-month,Fiber optic,1
611,65,40,110.18,One year,None,0
612,53,11,66.15,Two year,None,0
613,35,36,83.72,One year,DSL,0
614,66,49,85.94,Two year,None,0
615,56,59,109.51,Month-to-month,Fiber optic,1
616,49,39,83.67,Two year,None,1
617,41,40,81.39,Month-to-month,None,0
618,40,35,26.67,Two year,None,0
619,49,54,71.84,Two year,DSL,0
620,54,34,35.02,One year,Fiber optic,0
621,29,55,93.74,Two year,DSL,0
622,66,47,71.22,Month-to-month,DSL,0
623,30,24,88.02,Month-to-month,DSL,0
624,40,54,24.17,Month-to-month,DSL,1
625,42,22,28.48,Month-to-month,DSL,1
626,52,5,91.63,Month-to-month,Fiber optic,0
627,58,56,27.21,One year,None,1
628,47,33,27.13,Two year,DSL,0
629,34,58,21.21,Month-to-month,DSL,0
630,66,36,115.65,One year,Fiber optic,0
631,37,47,93.75,Two year,Fiber optic,0
632,65,20,55.33,Two year,None,0
633,42,19,49.65,Two year,Fiber optic,0
634,39,35,54.97,Month-to-month,None,1
635,30,52,97.47,Two year,DSL,0
636,36,43,86.14,One year,DSL,0
637,66,17,38.52,Month-to-month,None,1
638,53,59,37.41,Month-to-month,Fiber optic,0
